Subject (Work-Ex / Club),Skills & Taxonomic Description (For Vector Mapping)
AI & CODING CLUB,"Computational thinking, algorithmic problem solving, critical analysis, and exposure to transformative AI frameworks."
ATL TINKERING CLUB,"Design thinking, physical computing, adaptive learning, and hands-on innovation through ""Do-It-Yourself"" prototyping."
CALLIGRAPHY CLUB,"Artistic letter formation, precise motor control, penmanship aesthetics, and custom typography/font development."
CLAY CLUB,"3-dimensional spatial modeling, tactile imagination, hand-eye coordination, and fine motor skill development."
CRAFT CLUB,"Material science exploration (jute, beads, clay), sustainable ""waste-to-utility"" engineering, and creative life skills."
CULINARY CLUB,"Nutritional chemistry, recipe synthesis, creative food preparation, and balanced diet conceptualization."
DRUMS AND BAND CLUB,"Percussive theory, rhythmic basics, ensemble coordination, and performance-ready musicality."
ECO CLUB,"Environmental sustainability, conservation methodology, ecological responsibility, and green-future advocacy."
GUITAR AND BAND CLUB,"Staff notation, melodic composition, song arrangement, and collaborative band performance."
HEALTH & WELLNESS CLUB,"Physical kinesiology, mindfulness practices, mental health awareness, and nutritional habit formation."
HERITAGE & TOURISM CLUB,"Cultural anthropology, historical analysis, tourism potential awareness, and Indian heritage appreciation."
INDIAN DANCE CLUB,"Cultural movement exploration (Giddha, Lavani, Ghoomar), rhythmic expression, and Indian folklore music."
INDIAN VOCAL MUSIC CLUB,"Pitch control, harmonic scales, distinct vocal harmony, and deep exploration of Indian musicality."
KEYBOARD AND BAND CLUB,"Compositional staff notation, keyboard technique, melodic training, and ensemble performance."
MATHEMAGIC CLUB,"Mathematical logic, complex puzzle-solving, abstract concept exploration, and advanced critical thinking."
MODEL UNITED NATIONS,"Public speaking, geopolitical debating, research-based learning, and international diplomatic writing."
MUSIC PRODUCTION CLUB,"Digital audio workstation (DAW) collaboration, music synthesis, production methodology, and laptop-based creativity."
PAINTING CLUB,"Visual imagination, sketching techniques, color theory, and advanced artistic expression."
PERCUSSION CLUB,"Classical Raga familiarity, rhythmic instrumentation (Tabla, Bongo, Congo), and contemporary music theory."
PUBLIC SPEAKING CLUB,"Communication spontaneity, 21st-century collaboration skills, presentation delivery, and fear-reduction techniques."
SITAR CLUB,"Indian Classical Raga mastery, semi-classical melody training, and popular light music performance."
THEATRE CLUB,"Narrative storytelling, performance art (Mime, Nukkad Natak), communication enrichment, and emotional expression."
WESTERN DANCE CLUB,"Technical dance movement (Jazz, Salsa, Hip Hop), fearless expression, and linguistic movement language."
WESTERN VOCAL CLUB,"Pitch control, staff notation, and emotional painting through vocal musicality."
ROBOTICS CLUB,"STEM competency, critical thinking, 21st-century problem solving, and innovation-led incubation."
